filename,0lig,1cla,2uph,4sad,6qui
Coldplay_-_Yellow_(Official_Video)_[yKNxeF4KMsY]_3,32.0,14.0,6.0,7.0,7.0
Coldplay_-_Yellow_(Official_Video)_[yKNxeF4KMsY]_4,39.0,24.0,5.0,18.0,29.0
Coldplay_-_Yellow_(Official_Video)_[yKNxeF4KMsY]_5,23.0,28.0,5.0,7.0,20.0
Coldplay_-_Yellow_(Official_Video)_[yKNxeF4KMsY]_6,37.0,22.0,9.0,9.0,7.0
Coldplay_-_Yellow_(Official_Video)_[yKNxeF4KMsY]_7,14.0,21.0,4.0,17.0,32.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_0,20.0,42.0,6.0,13.0,42.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_1,32.0,21.0,7.0,8.0,16.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_2,29.0,19.0,7.0,8.0,13.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_3,46.0,27.0,13.0,12.0,15.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_4,38.0,29.0,11.0,11.0,16.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_5,36.0,22.0,9.0,9.0,16.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_6,52.0,33.0,16.0,14.0,19.0
君の瞳に恋してる__⧸__ボーイズ・タウン・ギャング_[S-pakyYbQBs]_7,48.0,41.0,15.0,16.0,28.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_0,32.0,17.0,7.0,8.0,12.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_1,22.0,18.0,5.0,8.0,13.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_2,47.0,22.0,14.0,11.0,11.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_3,42.0,24.0,12.0,10.0,14.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_4,43.0,23.0,13.0,10.0,12.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_5,37.0,14.0,8.0,7.0,8.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_6,50.0,23.0,15.0,13.0,11.0
アイボリー_⧸_Aqu3ra_feat.Flower_[gy_uVLgFsQQ]_7,27.0,31.0,8.0,12.0,26.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_0,10.0,27.0,4.0,19.0,41.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_1,54.0,33.0,16.0,14.0,22.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_2,52.0,34.0,15.0,13.0,24.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_3,67.0,32.0,20.0,17.0,16.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_4,60.0,33.0,18.0,16.0,18.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_5,44.0,46.0,13.0,13.0,36.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_6,60.0,34.0,18.0,16.0,18.0
Travis_Japan_-_'JUST_DANCE!'_Music_Video_[uuXBHgtC_x8]_7,16.0,50.0,6.0,26.0,65.0
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_0,78.0,55.0,12.0,56.0,70.0
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_1,18.0,50.0,7.0,17.0,55.0
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_2,15.0,48.0,6.0,17.0,54.0
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_3,20.0,53.0,5.0,15.0,52.0
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_4,19.0,43.0,5.0,22.0,50.0
Kygo_-_Firestone_ft._Conrad_Sewell_(Official_Video)_[9Sc-ir2UwGU]_5,15.0,38.0,5.0,15.0,44.0
